指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="930781",中证影视,2016-02-04,=-0.0155,=1859.3100,=0.0997,=217.8343,=0.5554,=16.7066,=43.1495,=190.4702,=-60.8596,=6083.5065,=2.6186,=0.5818,=1.4352,=2.0571,=2.4402,=3.6833,=9.5104,=5.3255,=0.7211,=2.7079,=3.4931,=4.3484,=5.7410,=14.3649,=0.0298,=-0.0036,=0.0165,=0.0080,=172
="000680",科创综指,2025-01-20,=-0.0395,=1760.2300,=0.0755,=220.0198,=0.5976,=115.7401,=141.4264,=213.7482,=237.2774,=278.5830,=5.6463,=0.9203,=3.4337,=3.8841,=4.3607,=5.3100,=6.0746,=7.6909,=0.9044,=4.7291,=5.3877,=6.0313,=7.2611,=8.3177,,,,=0.0034,=128
="000681",科创价格,2025-01-20,=-0.0395,=1699.0300,=0.0754,=220.0198,=0.4255,=196.2369,=206.3654,=225.2979,=253.8355,=278.5830,=5.6463,=0.7872,=4.8899,=5.1619,=5.3242,=5.6552,=6.0746,=7.6909,=0.7447,=6.6486,=7.0438,=7.3166,=7.7705,=8.3177,,,,=0.0034,=25
="1000014",科创板全指,2019-07-22,,,,=237.0789,=0.9660,=34.6058,=57.7565,=74.7238,=116.2065,=267.8356,=5.7762,=0.6683,=2.4875,=3.7528,=4.6459,=6.3826,=9.5957,=7.9838,=0.6526,=3.3799,=5.0987,=6.3085,=9.8803,=14.1086,=0.0228,=0.0223,=0.0201,=0.0033,=1255
="399020",创业小盘,2023-11-15,=-0.0213,=1895.1600,=0.0660,=239.1574,=0.9703,=48.5170,=79.4947,=138.5331,=206.1552,=255.8960,=3.9205,=0.9610,=1.8521,=2.4088,=3.0915,=3.6271,=4.1938,=4.0186,=0.9703,=1.9895,=2.5012,=3.0433,=3.6421,=4.2999,=0.0305,=0.0186,=0.0295,=0.0059,=11
="950162",科创芯片设计,2024-07-26,=-0.0559,=2154.3000,=0.1580,=250.9736,=0.2710,=206.4856,=245.0671,=319.7971,=392.3713,=687.1301,=13.0159,=0.9214,=4.2582,=7.2842,=8.4559,=11.6221,=13.9555,=21.5175,=0.8970,=8.7765,=14.2143,=15.6908,=19.2373,=23.6998,=0.0497,,,=0.0011,=4
="H30202",软件指数,2013-07-15,=-0.0286,=15841.7300,=0.0507,=254.9159,=0.9250,=45.1036,=65.7595,=89.7022,=149.7367,=372.5263,=6.1013,=0.6635,=2.9348,=4.5175,=5.5017,=6.7053,=8.8705,=8.1701,=0.7838,=3.9010,=5.4106,=6.9118,=8.3035,=13.5560,=0.0084,=0.0152,=0.0021,=0.0051,=299
="931247",中证信创,2012-12-21,=-0.0466,=1587.1000,=0.0843,=267.8338,=0.7511,=66.5979,=100.9740,=202.9020,=279.9627,=369.3964,=6.6284,=0.9758,=2.7947,=3.4366,=4.5303,=5.3697,=7.3251,=5.2863,=0.9516,=2.8203,=3.3862,=3.9682,=4.6652,=5.8463,=0.0127,=0.0263,=0.0163,=0.0037,=84
="000683",科创生物,2022-05-09,=-0.0302,=1061.2400,=-0.0104,=319.2662,=0.2418,=31.4909,=166.0171,=2634.6099,=-207.2128,=97054.3385,=6.5559,=0.8495,=4.0903,=4.8285,=5.3530,=6.0124,=7.9611,=11.1940,=0.7286,=7.6079,=9.2041,=10.2977,=11.5014,=14.1963,=0.0264,=0.0087,=0.0173,=0.0028,=41
="000699",科创200,2024-08-20,=-0.0414,=1472.1200,=0.1155,=339.6784,=0.9091,=128.9087,=175.3867,=270.4899,=310.3413,=388.1174,=4.8825,=0.9545,=1.9770,=2.9558,=3.2537,=4.2178,=5.2782,=7.7478,=0.9545,=3.3605,=5.0169,=5.5138,=6.6279,=8.3761,=0.0163,,,=0.0039,=101
="931151",光伏产业,2019-04-22,=-0.0095,=3149.6000,=0.1021,=350.4837,=0.9016,=9.5087,=18.6815,=36.6265,=60.2871,=373.9719,=2.6449,=0.5203,=1.5562,=1.9182,=2.5620,=4.5570,=6.9801,=1.9747,=0.5683,=0.8897,=1.2272,=1.7198,=3.3279,=5.9137,=0.0130,=-0.0080,=0.0100,=0.0080,=2610
="931594",卫星产业,2020-12-22,=-0.0209,=1248.5400,=0.1059,=355.7618,=0.9677,=44.5603,=94.5612,=123.9707,=195.3813,=421.5517,=6.4477,=0.9863,=2.3588,=3.0333,=3.4529,=3.8543,=7.6413,=9.6643,=0.9863,=3.4655,=4.5007,=5.0992,=5.8073,=11.4514,=0.0283,=0.0186,=0.0370,=0.0028,=95
="980018",卫星通信,2015-02-17,=-0.0210,=5895.4700,=0.1031,=714.0370,=0.9886,=23.6003,=28.7316,=36.7944,=50.6781,=859.1162,=6.4189,=0.9886,=1.7225,=2.0415,=2.5146,=4.1467,=7.7241,=6.4195,=0.9886,=1.5054,=1.7934,=2.2675,=3.0093,=7.7238,=0.0545,=0.0628,=0.0603,=0.0028,=62
="930633",中证旅游,2015-05-08,=-0.0117,=3236.0800,=-0.0253,=2448.8228,=0.5511,=15.8968,=21.4173,=261.0724,=-53.1092,=11171.4579,=2.6269,=0.6952,=1.6473,=2.1842,=2.3903,=2.8078,=3.6934,=1.4888,=0.2961,=1.0607,=1.3645,=1.6115,=2.5752,=3.7607,=0.0353,=0.0007,=0.0366,=0.0079,=556
="H30182",计算机,2013-07-15,=-0.0312,=8060.4700,=0.0520,=4237.7275,=0.9298,=33.2527,=54.4692,=98.4209,=213.4659,=65313.4473,=5.0312,=0.9271,=2.4295,=3.5650,=4.0673,=4.6192,=5.8765,=4.8953,=0.8560,=2.3635,=3.5558,=4.1286,=4.7459,=7.6223,=0.0011,=-0.0043,=-0.0022,=0.0041,=40
="950333",智选创新价值,2024-09-25,=-0.0388,=2456.2200,=0.0808,=-218.0660,=0.9482,=62.6254,=104.8075,=430.7682,=-1131.7533,=5158.8110,=2.9274,=0.9512,=1.6564,=2.1291,=2.3088,=2.6651,=3.1993,=2.9632,=0.8872,=1.6015,=2.1082,=2.2816,=2.8631,=3.2383,=0.0044,,,=0.0060,=3
="000692",科创新能,2023-04-03,=-0.0278,=1251.7400,=0.0813,=-44.0558,=0.8023,=13.9124,=18.4388,=28.4490,=-44.0869,=279.8956,=2.7124,=0.8096,=1.4486,=1.7627,=2.1245,=2.6889,=4.0229,=2.0069,=0.9331,=0.8667,=1.1407,=1.3503,=1.8447,=2.6157,=-0.0313,=-0.0246,=0.0066,=0.0054,=25
